month,day,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
09,01,00,17.2,15.5,90,0,,220,5.4,,1016.3,,
09,01,01,17.8,16.1,90,0,,0,0,,1016.2,,
09,01,02,20.6,15.6,73,0,,320,14.8,,1016.8,,
09,01,03,20,15.6,76,0,,350,20.5,,1017.2,,
09,01,04,18.9,15,78,0,,350,14.8,,1017.9,,
09,01,05,17.8,13.3,75,0,,360,14.8,,1018.7,,
09,01,06,16.7,12.8,78,0,,350,13,,1019.2,,
09,01,07,16.1,12.3,78,0,,350,14.8,,1020,,
09,01,08,16.7,12.2,75,0,,350,14.8,,1020.9,,
09,01,09,18.9,12.9,68,0,,10,16.6,,1021.7,,
09,01,10,21.1,12.2,57,0,,30,18.4,,1022.5,,
09,01,11,22.2,10.7,48,0,,40,20.5,,1023.1,,
09,01,12,23.3,10,43,0,,40,18.4,,1023.4,,
09,01,13,23.9,9.5,40,0,,20,18.4,,1023.5,,
09,01,14,24.4,8.4,36,0,,30,22.3,,1023.3,,
09,01,15,24.4,8.8,37,0,,350,25.9,,1022.9,,
09,01,16,24.4,8.4,36,0,,10,20.5,,1022.7,,
09,01,17,24.4,8.4,36,0,,10,16.6,,1022.6,,
09,01,18,23.3,7.8,37,0,,10,16.6,,1022.9,,
09,01,19,22.2,8.3,41,0,,20,14.8,,1022.8,,
09,01,20,18.3,9.9,58,0,,30,7.6,,1023.1,,
09,01,21,17.2,10.6,65,0,,20,9.4,,1023.5,,
09,01,22,15.6,10.6,72,0,,10,5.4,,1024,,
09,01,23,12.8,10,83,0,,300,5.4,,1024.6,,
09,02,00,12.2,9.9,86,0,,0,0,,1024.9,,
09,02,01,12.2,9.9,86,0,,360,5.4,,1024.9,,
09,02,02,12.2,9.4,83,0,,0,0,,1025,,
09,02,03,10.6,8.9,89,0,,10,7.6,,1025.2,,
09,02,04,10.6,8.4,86,0,,320,5.4,,1025.7,,
09,02,05,8.9,7.2,89,0,,0,0,,1025.9,,
09,02,06,8.3,7.2,93,0,,0,0,,1026.1,,
09,02,07,8.9,7.2,89,0,,0,0,,1026.7,,
09,02,08,12.2,9.4,83,0,,0,0,,1027,,
09,02,09,15,10.6,75,0,,120,7.6,,1027.2,,
09,02,10,18.3,12.3,68,0,,150,11.2,,1027.4,,
09,02,11,21.1,11.7,55,0,,150,13,,1027.4,,
09,02,12,22.2,9.4,44,0,,180,13,,1027,,
09,02,13,22.8,9.2,42,0,,150,14.8,,1026.3,,
09,02,14,23.9,9.5,40,0,,,7.6,,1025.8,,
09,02,15,23.9,10.5,43,0,,180,7.6,,1025.1,,
09,02,16,23.9,9.8,41,0,,140,14.8,,1024.3,,
09,02,17,23.9,9.8,41,0,,140,13,,1024.1,,
09,02,18,23.3,11,46,0,,150,13,,1023.8,,
09,02,19,21.7,12.8,57,0,,130,7.6,,1023.6,,
09,02,20,17.8,12.7,72,0,,130,5.4,,1023.7,,
09,02,21,15,12.9,87,0,,140,5.4,,1024,,
09,02,22,14.4,12.3,87,0,,0,0,,1024.1,,
09,02,23,13.3,11.7,90,0,,150,5.4,,1024.3,,
09,03,00,12.2,10.6,90,0,,140,9.4,,1024.3,,
09,03,01,12.2,10.6,90,0,,140,7.6,,1024,,
09,03,02,11.7,9.9,89,0,,150,7.6,,1024,,
09,03,03,10.6,10,96,0,,140,7.6,,1023.9,,
09,03,04,10.6,9.4,92,0,,140,7.6,,1023.7,,
09,03,05,10.6,9.4,92,0,,160,9.4,,1023.7,,
09,03,06,10.6,9.4,92,0,,0,0,,1023.9,,
09,03,07,9.4,8.3,93,0,,140,9.4,,1024.6,,
09,03,08,12.8,11,89,0,,140,7.6,,1025,,
09,03,09,15.6,11.8,78,0,,150,11.2,,1025.2,,
09,03,10,18.9,11.7,63,0,,150,16.6,,1025.2,,
09,03,11,21.1,11.1,53,0,,170,18.4,,1024.9,,
09,03,12,22.8,11.2,48,0,,210,13,,1024.7,,
09,03,13,23.9,11.2,45,0,,190,14.8,,1024.2,,
09,03,14,24.4,11,43,0,,150,13,,1023.5,,
09,03,15,25.6,11,40,0,,150,18.4,,1022.7,,
09,03,16,25,10.4,40,0,,140,22.3,,1021.9,,
09,03,17,25,11.2,42,0,,160,18.4,,1021.7,,
09,03,18,24.4,11.7,45,0,,140,14.8,,1021.4,,
09,03,19,22.8,12.7,53,0,,140,11.2,,1021.3,,
09,03,20,17.8,12.7,72,0,,120,7.6,,1021.3,,
09,03,21,15.6,12.2,80,0,,140,11.2,,1021.6,,
09,03,22,14.4,11.7,84,0,,140,11.2,,1022.1,,1
09,03,23,12.8,11,89,0,,150,11.2,,1022.1,,1
09,04,00,13.3,11,86,0,,150,11.2,,1022,,1
09,04,01,12.2,10.6,90,0,,140,7.6,,1022.2,,1
09,04,02,12.2,10.6,90,0,,140,7.6,,1022.2,,1
09,04,03,11.7,9.9,89,0,,140,9.4,,1022,,1
09,04,04,11.1,9.4,89,0,,130,7.6,,1022.4,,1
09,04,05,10,8.9,93,0,,140,9.4,,1022.4,,5
09,04,06,9.4,8.3,93,0,,140,7.6,,1022.6,,1
09,04,07,9.4,8.3,93,0,,130,5.4,,1023,,1
09,04,08,12.2,10.6,90,0,,140,7.6,,1023.2,,1
09,04,09,16.1,12.3,78,0,,150,7.6,,1023,,1
09,04,10,20,13.2,65,0,,160,11.2,,1022.8,,1
09,04,11,24,14.1,54,0,,170,15,,1023,,1
09,04,12,24.4,14.5,54,0,,170,14.8,,1022,,1
09,04,13,26.1,14.2,48,0,,160,20.5,,1021.3,,1
09,04,14,26.7,13.8,45,0,,200,18.4,,1020.9,,1
09,04,15,26.7,14.4,47,0,,170,22.3,,1020.1,,1
09,04,16,27.2,14.6,46,0,,170,24.1,,1019.8,,1
09,04,17,27.2,13.9,44,0,,210,16.6,,1019.9,,1
09,04,18,26.1,14.2,48,0,,180,13,,1019.8,,1
09,04,19,23.9,15.1,58,0,,170,11.2,,1019.7,,1
09,04,20,19.4,14.4,73,0,,150,11.2,,1019.5,,1
09,04,21,17.8,14.3,80,0,,150,11.2,,1019.6,,1
09,04,22,17.2,13.9,81,0,,150,11.2,,1019.6,,1
09,04,23,16.1,13.4,84,0,,150,7.6,,1019.8,,1
09,05,00,15.6,13.3,86,0,,140,9.4,,1019.8,,1
09,05,01,15,13.4,90,0,,140,5.4,,1019.8,,1
09,05,02,15,13.4,90,0,,140,7.6,,1019.7,,1
09,05,03,15.6,14,90,0,,140,5.4,,1019.5,,1
09,05,04,16.1,14.5,90,0,,0,0,,1019.3,,2
09,05,05,15,13.9,93,0,,150,7.6,,1019,,3
09,05,06,15,13.4,90,0,,160,5.4,,1019,,2
09,05,07,17.2,13.9,81,0,,230,5.4,,1019.3,,3
09,05,08,18.3,14.4,78,0,,230,7.6,,1019.4,,3
09,05,09,20.6,14.9,70,0,,260,9.4,,1019.1,,3
09,05,10,23.3,17.3,69,0,,310,11.2,,1019.4,,3
09,05,11,22.8,17.7,73,,,320,20.5,,1020.8,,3
09,05,12,20.6,18.4,87,,,340,20.5,,1021,,3
09,05,13,22.8,18.3,76,0,,340,19,,1021,,3
09,05,14,22.8,18.3,76,0,,340,18.4,,1021.5,,3
09,05,15,25,18.2,66,0,,350,18.4,,1021,,3
09,05,16,26.1,17.2,58,0,,330,20.5,,1020.9,,3
09,05,17,26.7,16,52,0,,360,18.4,,1020.7,,2
09,05,18,26.1,14.2,48,0,,360,16.6,,1020.9,,1
09,05,19,25,14.4,52,0,,350,14.8,,1021.2,,1
09,05,20,22.8,14.9,61,0,,340,14.8,,1021.5,,1
09,05,21,21.7,14.3,63,0,,340,18.4,,1021.9,,1
09,05,22,20,13.9,68,0,,340,16.6,,1022.1,,1
09,05,23,18.3,13.4,73,0,,340,14.8,,1022.5,,1
09,06,00,17.2,11.7,70,0,,350,16.6,,1022.8,,1
09,06,01,15.6,11.2,75,0,,340,13,,1023,,1
09,06,02,15,10.6,75,0,,350,14.8,,1023,,1
09,06,03,14.4,10,75,0,,340,14.8,,1023,,1
09,06,04,13.9,9.9,77,0,,340,13,,1023,,1
09,06,05,12.8,10,83,0,,330,13,,1023,,1
09,06,06,12.8,9.4,80,0,,330,11.2,,1023.2,,1
09,06,07,12.2,9.4,83,0,,320,13,,1023.5,,1
09,06,08,13.9,9.9,77,0,,320,14.8,,1024,,1
09,06,09,15,10.6,75,0,,350,14.8,,1024.2,,1
09,06,10,17.8,11.8,68,0,,350,14.8,,1024.4,,1
09,06,11,20,12.2,61,0,,350,22.3,,1024.8,,1
09,06,12,20,10.7,55,0,,350,22.3,,1024.6,,2
09,06,13,21.1,9.3,47,0,,340,24.1,,1024.6,,2
09,06,14,21.7,8.2,42,0,,340,16.6,,1024.6,,2
09,06,15,22.8,7.3,37,0,,340,22.3,,1023.9,,1
09,06,16,20.6,7.9,44,0,,10,22.3,,1023.7,,2
09,06,17,22.2,6.8,37,0,,350,24.1,,1023.5,,3
09,06,18,20,9.3,50,0,,20,24.1,,1023.9,,2
09,06,19,19.4,8.4,49,0,,360,13,,1024,,2
09,06,20,16.7,8.9,60,0,,350,9.4,,1024.2,,1
09,06,21,14.4,9,70,0,,10,7.6,,1024.6,,1
09,06,22,13.3,9,75,0,,340,7.6,,1024.8,,1
09,06,23,11.7,8.9,83,0,,310,5.4,,1024.8,,1
09,07,00,10.6,8.4,86,0,,0,0,,1024.9,,1
09,07,01,9.4,7.8,90,0,,0,0,,1025,,1
09,07,02,10,7.8,86,0,,0,0,,1024.9,,1
09,07,03,10.6,8.4,86,0,,330,9.4,,1025.2,,1
09,07,04,10,7.8,86,0,,0,0,,1025.3,,1
09,07,05,9.4,7.8,90,0,,340,5.4,,1025.4,,1
09,07,06,8.3,7.2,93,0,,320,5.4,,1025.6,,3
09,07,07,7.2,6.1,93,0,,0,0,,1026,,1
09,07,08,11.1,8.3,83,0,,360,5.4,,1026.6,,1
09,07,09,13.3,9,75,0,,80,5.4,,1027,,1
09,07,10,15,7.8,62,0,,78,5.4,,1027,,1
09,07,11,17.2,8.3,56,0,,0,0,,1026.9,,1
09,07,12,18.9,7.6,48,0,,0,0,,1026.4,,1
09,07,13,20,7.7,45,0,,0,0,,1025.7,,1
09,07,14,21.1,7.3,41,0,,140,9.4,,1025.2,,1
09,07,15,21.7,7.1,39,0,,0,0,,1024.4,,1
09,07,16,22.8,7.7,38,0,,70,14.8,,1023.5,,2
09,07,17,22.2,7.9,40,0,,0,0,,1022.9,,3
09,07,18,21.7,6.8,38,0,,90,9.4,,1022.7,,2
09,07,19,20.6,7.9,44,0,,100,7.6,,1022.4,,3
09,07,20,14.4,9.4,72,0,,150,5.4,,1022.3,,2
09,07,21,12.8,8.9,77,0,,160,5.4,,1022.5,,1
09,07,22,11.7,8.4,80,0,,0,0,,1022.7,,1
09,07,23,10,7.8,86,0,,0,0,,1022.6,,1
09,08,00,10,7.8,86,0,,0,0,,1022.4,,1
09,08,01,8.9,7.2,89,0,,0,0,,1022.2,,1
09,08,02,8.3,6.8,90,0,,0,0,,1022.2,,1
09,08,03,8.3,6.8,90,0,,0,0,,1022,,3
09,08,04,7.8,6.1,89,0,,0,0,,1022.1,,3
09,08,05,7.2,6.1,93,0,,150,5.4,,1022.2,,3
09,08,06,7.8,6.7,93,0,,0,0,,1022.3,,5
09,08,07,7.2,6.1,93,0,,130,5.4,,1023,,5
09,08,08,8.9,7.8,93,0,,0,0,,1023.1,,1
09,08,09,13.9,10.5,80,0,,200,9.4,,1023.1,,1
09,08,10,17.2,9.4,60,0,,210,11.2,,1022.8,,1
09,08,11,20,9.8,52,0,,230,14.8,,1022.5,,1
09,08,12,22.2,10,46,0,,240,14.8,,1022,,2
09,08,13,23.3,9.3,41,0,,210,16.6,,1021.7,,1
09,08,14,23.9,9.5,40,0,,250,14.8,,1021.2,,1
09,08,15,24.4,9.5,39,0,,220,9.4,,1020.6,,1
09,08,16,24.4,8.8,37,0,,210,14.8,,1019.9,,1
09,08,17,23.9,9.5,40,0,,200,13,,1019.4,,1
09,08,18,23.3,9.3,41,0,,210,14.8,,1019.2,,1
09,08,19,20.6,10.7,53,0,,200,9.4,,1019.1,,1
09,08,20,17.2,10.6,65,0,,200,7.6,,1018.9,,1
09,08,21,15.6,10.6,72,0,,200,11.2,,1019.1,,1
09,08,22,13.9,9.9,77,0,,210,11.2,,1019.4,,1
09,08,23,12.2,9.4,83,0,,0,0,,1019.5,,1
09,09,00,11.7,8.9,83,0,,0,0,,1019.5,,1
09,09,01,10,8.9,93,0,,0,0,,1019.8,,1
09,09,02,10,8.9,93,0,,0,0,,1019.8,,1
09,09,03,9.4,7.8,90,0,,0,0,,1019.9,,1
09,09,04,8.9,7.8,93,0,,0,0,,1020.1,,1
09,09,05,8.9,7.8,93,0,,0,0,,1020.2,,1
09,09,06,8.3,7.2,93,0,,130,5.4,,1020.3,,1
09,09,07,8.3,7.2,93,0,,140,9.4,,1020.5,,1
09,09,08,10,8.9,93,0,,0,0,,1020.8,,1
09,09,09,13.3,10.7,84,0,,0,0,,1020.7,,1
09,09,10,17.8,11.1,65,0,,170,9.4,,1020.4,,1
09,09,11,22.2,10.7,48,0,,180,11.2,,1020.1,,1
09,09,12,24.4,10.6,42,0,,190,13,,1019.5,,1
09,09,13,26.7,11.6,39,0,,150,18.4,,1018.7,,1
09,09,14,27.2,11.6,38,0,,180,18.4,,1018.3,,1
09,09,15,27.8,12.2,38,0,,160,22.3,,1017.7,,1
09,09,16,27.8,12.9,40,0,,170,20.5,,1017.3,,1
09,09,17,27.2,12,39,0,,170,22.3,,1017,,1
09,09,18,26.7,12.3,41,0,,170,20.5,,1016.8,,1
09,09,19,23.9,12.8,50,0,,150,14.8,,1016.6,,1
09,09,20,19.4,12.9,66,0,,140,11.2,,1016.5,,2
09,09,21,18.3,12.7,70,0,,150,13,,1016.5,,2
09,09,22,16.7,12.2,75,0,,140,13,,1016.7,,1
09,09,23,16.7,12.2,75,0,,140,9.4,,1016.5,,1
09,10,00,15.6,12.2,80,0,,140,9.4,,1016.4,,2
09,10,01,14.4,11.7,84,0,,140,7.6,,1016,,3
09,10,02,13.9,11.1,83,0,,150,9.4,,1015.7,,3
09,10,03,13.3,10.7,84,0,,150,9.4,,1015.5,,3
09,10,04,13.3,9.9,80,0,,140,11.2,,1015.4,,2
09,10,05,12.2,9.9,86,0,,150,13,,1015.3,,2
09,10,06,13.3,9.4,77,0,,140,11.2,,1015.2,,3
09,10,07,12.2,9.9,86,0,,160,9.4,,1015.9,,2
09,10,08,15,10,72,0,,150,11.2,,1015.4,,2
09,10,09,17.8,11.1,65,0,,160,18.4,,1015.1,,1
09,10,10,21.7,9.6,46,0,,210,11.2,,1016,,3
