time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-04-01 00:00:00,1.7,-2.8,72,0,,70,5.4,,1018.6,,1
2025-04-01 01:00:00,0.6,-2.8,78,0,,100,5.4,,1018.1,,2
2025-04-01 02:00:00,0.6,-3.3,75,0,,100,7.6,,1017.4,,3
2025-04-01 03:00:00,1.1,-3.9,69,0,,100,7.6,,1016.8,,3
2025-04-01 04:00:00,0,-4.4,72,0,,120,9.4,,1016,,3
2025-04-01 05:00:00,0,-4.4,72,0,,120,9.4,,1015.9,,3
2025-04-01 06:00:00,0,-3.9,75,0,,110,13,,1015.5,,3
2025-04-01 07:00:00,0.6,-3.9,72,0,,120,14.8,,1015.3,,3
2025-04-01 08:00:00,1.7,-3.4,69,0,,110,16.6,,1015.4,,3
2025-04-01 09:00:00,2.8,-2.1,70,0,,120,20.5,,1014.8,,3
2025-04-01 10:00:00,3.3,-2.2,67,0,,120,22.3,,1014.2,,3
2025-04-01 11:00:00,4.4,-1.6,65,0,,120,20.5,,1013.5,,3
2025-04-01 12:00:00,5.6,-0.7,64,0,,120,27.7,,1013.1,,3
2025-04-01 13:00:00,6.7,-0.1,62,0,,110,29.5,,1010.8,,8
2025-04-01 14:00:00,6.1,2.2,76,0.8,,110,25.9,,1009.5,,8
2025-04-01 15:00:00,7.2,2.9,74,0.5,,110,38.9,,1007.8,,3
2025-04-01 16:00:00,7.2,1.7,68,,,110,37.1,,1005.4,,3
2025-04-01 17:00:00,7.2,1.1,65,,,120,40.7,,1004.2,,3
2025-04-01 18:00:00,7.2,0.6,63,0,,120,31.7,,1005.1,,7
2025-04-01 19:00:00,7.2,0,60,0,,110,33.5,,1005,,7
2025-04-01 20:00:00,7.2,0,60,0,,110,29.5,,1004.3,,3
2025-04-01 21:00:00,7.2,0,60,0,,100,22.3,,1003.7,,3
2025-04-01 22:00:00,7.2,0.6,63,0,,100,22.3,,1003.3,,3
2025-04-01 23:00:00,7.8,1.2,63,0,,110,31.7,,1001.8,,3
2025-04-02 00:00:00,7.8,1.6,65,0,,110,25.9,,998.9,,9
2025-04-02 01:00:00,8.3,1.7,63,0,,110,27.7,,997.9,,3
2025-04-02 02:00:00,8.3,2.1,65,,,140,18.4,,997.6,,7
2025-04-02 03:00:00,7.2,4,80,2.3,,130,11.2,,998.1,,9
2025-04-02 04:00:00,6.7,5.6,93,5.8,,110,22.3,,995.6,,9
2025-04-02 05:00:00,7.8,6.7,93,3.3,,130,31.7,,995,,9
2025-04-02 06:00:00,7.8,6.1,89,5.8,,120,33.5,,990.6,,9
2025-04-02 07:00:00,7.8,6.7,93,0,,120,20.5,,991.9,,3
2025-04-02 08:00:00,8.3,6.8,90,0,,130,18.4,,990.5,,3
2025-04-02 09:00:00,8.9,7.2,89,1.3,,90,13,,991.6,,3
2025-04-02 10:00:00,9.4,7.8,90,0,,160,16.6,,992.7,,5
2025-04-02 11:00:00,10.6,9.4,92,,,120,18.4,,988.3,,3
2025-04-02 12:00:00,15.6,12.2,80,0,,160,29.5,,988.4,,1
2025-04-02 13:00:00,20.6,11,54,0,,210,48.2,,988.9,,3
2025-04-02 14:00:00,20,10.7,55,0,,230,57.6,,990.3,,2
2025-04-02 15:00:00,15.6,8.8,64,0,,260,53.6,,993,,2
2025-04-02 16:00:00,12.2,7.3,72,0,,250,42.5,,994.3,,3
2025-04-02 17:00:00,11.7,6.6,71,0,,250,37.1,,995.2,,3
2025-04-02 18:00:00,11.7,6,68,0,,260,42.5,,996,,3
2025-04-02 19:00:00,11.1,5,66,0,,260,37.1,,997.7,,3
2025-04-02 20:00:00,10,3.9,66,0,,260,24.1,,999.7,,3
2025-04-02 21:00:00,9.4,3.8,68,0,,270,22.3,,1000.9,,3
2025-04-02 22:00:00,8.9,2.9,66,0,,290,31.7,,1001.7,,3
2025-04-02 23:00:00,7.8,2.3,68,0,,290,31.7,,1003,,1
2025-04-03 00:00:00,6.1,0.6,68,0,,290,24.1,,1004.3,,1
2025-04-03 01:00:00,5,0.6,73,0,,280,20.5,,1005.5,,1
2025-04-03 02:00:00,4.4,0,73,0,,270,20.5,,1007.1,,1
2025-04-03 03:00:00,3.3,-1.1,73,0,,280,27.7,,1008.6,,1
2025-04-03 04:00:00,2.2,-1.8,75,0,,280,20.5,,1009.8,,1
2025-04-03 05:00:00,2.8,-1.7,72,0,,270,22.3,,1012.3,,3
2025-04-03 06:00:00,2.8,-0.7,78,0,,270,18.4,,1013.3,,3
2025-04-03 07:00:00,3.3,-1.6,70,0,,300,27.7,,1013.8,,3
2025-04-03 08:00:00,3.3,-1.6,70,0,,290,25.9,,1015.3,,1
2025-04-03 09:00:00,3.9,-1.7,67,0,,300,20.5,,1015.7,,1
2025-04-03 10:00:00,4.4,-1,68,0,,320,18.4,,1016.3,,3
2025-04-03 11:00:00,6.1,-1.1,60,0,,320,22.3,,1017.6,,3
2025-04-03 12:00:00,7.8,-0.7,55,0,,320,14.8,,1018.9,,3
2025-04-03 13:00:00,7.8,0.1,58,0,,320,16.6,,1018.4,,3
2025-04-03 14:00:00,8.3,0,56,0,,330,14.8,,1018.8,,3
2025-04-03 15:00:00,10,0.6,52,0,,10,13,,1018.8,,3
2025-04-03 16:00:00,10,1.1,54,0,,330,13,,1019,,3
