time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-08-01 00:00:00,17.8,15.6,87,0,,70,5.4,,1026.3,,5
2025-08-01 01:00:00,16.7,14.3,86,0,,360,5.4,,1027.2,,5
2025-08-01 02:00:00,16.1,13.9,87,0,,0,0,,1027,,5
2025-08-01 03:00:00,15.6,14,90,0,,30,5.4,,1026.9,,5
2025-08-01 04:00:00,15,13.4,90,0,,340,5.4,,1027.5,,5
2025-08-01 05:00:00,14.4,12.3,87,0,,350,7.6,,1027.7,,5
2025-08-01 06:00:00,13.3,12.2,93,0,,10,5.4,,1028.1,,5
2025-08-01 07:00:00,13.9,12.3,90,0,,10,7.6,,1028.4,,5
2025-08-01 08:00:00,16.1,12.8,81,0,,0,0,,1028.8,,5
2025-08-01 09:00:00,17.8,13.3,75,0,,90,9.4,,1029,,5
2025-08-01 10:00:00,20,14.4,70,0,,0,0,,1029.4,,5
2025-08-01 11:00:00,21.7,11.7,53,0,,90,11.2,15,1029.5,,5
2025-08-01 12:00:00,22.2,9,43,0,,110,13,18,1029.5,,5
2025-08-01 13:00:00,23.3,9.3,41,0,,80,18.4,,1029,,5
2025-08-01 14:00:00,23.3,10.7,45,0,,100,18.4,16,1028.8,,5
2025-08-01 15:00:00,22.8,10.6,46,0,,70,20.5,17,1028.7,,5
2025-08-01 16:00:00,22.8,10.6,46,0,,80,18.4,,1028.4,,3
2025-08-01 17:00:00,23.3,10.7,45,0,,90,16.6,,1028.2,,3
2025-08-01 18:00:00,22.8,11.8,50,0,,80,7.6,,1028,,3
2025-08-01 19:00:00,21.7,11.1,51,0,,90,9.4,,1027.7,,3
2025-08-01 20:00:00,20,12.2,61,0,,70,5.4,,1027.4,,2
2025-08-01 21:00:00,18.9,12.9,68,0,,80,7.6,,1026.9,,1
2025-08-01 22:00:00,17.8,12.7,72,0,,50,5.4,,1027.1,,3
2025-08-01 23:00:00,16.1,13.4,84,0,,0,0,,1027.4,,3
2025-08-02 00:00:00,16.1,13.9,87,0,,0,0,,1027.9,,3
2025-08-02 01:00:00,15.6,13.3,86,0,,0,0,,1028.1,,3
2025-08-02 02:00:00,15.6,13.3,86,0,,0,0,,1028.1,,3
2025-08-02 03:00:00,15.6,13.3,86,0,,360,9.4,,1028,,3
2025-08-02 04:00:00,15,13.4,90,0,,70,5.4,,1027.5,,3
2025-08-02 05:00:00,14.4,12.8,90,0,,0,0,,1027.8,,5
2025-08-02 06:00:00,13.9,13.3,96,0,,90,5.4,,1027.4,,5
2025-08-02 07:00:00,13.9,13.3,96,0,,0,0,,1027.8,,5
2025-08-02 08:00:00,16.1,14.5,90,0,,120,7.6,,1027.6,,5
2025-08-02 09:00:00,18.3,15,81,0,,130,7.6,,1027.7,,5
2025-08-02 10:00:00,20.6,15.6,73,0,,140,13,,1027.5,,5
2025-08-02 11:00:00,21.7,15.1,66,0,,130,16.6,,1027.5,,5
2025-08-02 12:00:00,22.8,15.6,64,0,,130,13,,1027.2,,5
2025-08-02 13:00:00,23.3,16.1,64,0,,120,14.8,,1026.6,,5
2025-08-02 14:00:00,23.9,16.2,62,0,,140,16.6,,1025.9,,5
2025-08-02 15:00:00,24.4,16.1,60,0,,90,13,,1025.2,,3
2025-08-02 16:00:00,24.4,15.6,58,0,,150,16.6,,1024.6,,3
2025-08-02 17:00:00,23.9,15.1,58,0,,110,9.4,,1024.3,,3
2025-08-02 18:00:00,23.3,15.6,62,0,,130,16.6,,1023.7,,3
2025-08-02 19:00:00,22.2,16,68,0,,130,11.2,,1023.2,,5
2025-08-02 20:00:00,20.6,16.6,78,0,,130,7.6,,1023.2,,3
2025-08-02 21:00:00,19.4,16.6,84,0,,0,0,,1022.7,,3
2025-08-02 22:00:00,18.3,16.6,90,0,,110,5.4,,1022.9,,3
2025-08-02 23:00:00,17.8,16.1,90,0,,120,5.4,,1022.8,,3
2025-08-03 00:00:00,16.7,15.6,93,0,,140,5.4,,1022.9,,5
2025-08-03 01:00:00,15.6,15.6,100,0,,0,0,,1022.5,,5
2025-08-03 02:00:00,15,15,100,0,,130,7.6,,1022.2,,5
2025-08-03 03:00:00,14.4,13.9,97,0,,140,7.6,,1021.7,,5
2025-08-03 04:00:00,13.9,13.3,96,0,,0,0,,1021.5,,5
2025-08-03 05:00:00,13.3,12.8,97,0,,0,0,,1020.9,,5
2025-08-03 06:00:00,12.2,12.2,100,0,,0,0,,1021.3,,5
2025-08-03 07:00:00,13.3,13.3,100,0,,0,0,,1021.9,,5
2025-08-03 08:00:00,15,13.4,90,0,,0,0,,1022.3,,1
2025-08-03 09:00:00,17.8,14.3,80,0,,120,7.6,,1022.1,,3
2025-08-03 10:00:00,20.6,16,75,0,,150,5.4,,1022.2,,1
2025-08-03 11:00:00,22.8,14.4,59,0,,160,14.8,,1021.8,,1
2025-08-03 12:00:00,23.3,12.9,52,0,,160,18.4,18,1021.3,,1
2025-08-03 13:00:00,23.9,14,54,0,,140,14.8,,1020.6,,2
2025-08-03 14:00:00,24.4,13.9,52,0,,140,20.5,,1019.9,,2
2025-08-03 15:00:00,23.3,14.3,57,0,,120,16.6,,1019.2,,3
2025-08-03 16:00:00,24.4,14.5,54,0,,150,18.4,,1018.9,,3
2025-08-03 17:00:00,23.9,14,54,0,,150,16.6,,1019.1,,3
2025-08-03 18:00:00,23.9,13.4,52,0,,150,14.8,,1019,,3
2025-08-03 19:00:00,22.2,14.3,61,0,,140,11.2,,1019.3,,3
2025-08-03 20:00:00,20.6,15.6,73,0,,120,9.4,,1018.9,,3
2025-08-03 21:00:00,20,16,78,0,,110,5.4,,1018.8,,3
2025-08-03 22:00:00,18.9,16.1,84,0,,120,5.4,,1019.1,,3
2025-08-03 23:00:00,17.8,15.6,87,0,,130,7.6,,1018.8,,3
2025-08-04 00:00:00,16.7,15.6,93,0,,140,5.4,,1019.4,,3
2025-08-04 01:00:00,17.2,16.1,93,0,,0,0,,1019.4,,3
2025-08-04 02:00:00,16.7,15.6,93,0,,0,0,,1019.2,,3
2025-08-04 03:00:00,16.7,15.6,93,0,,0,0,,1018.8,,3
2025-08-04 04:00:00,16.1,15.6,97,0,,0,0,,1019.1,,2
2025-08-04 05:00:00,16.7,15,90,0,,0,0,,1019.1,,3
2025-08-04 06:00:00,16.1,15,93,0,,0,0,,1019.3,,3
2025-08-04 07:00:00,15.6,15,96,0,,0,0,,1019.6,,1
2025-08-04 08:00:00,17.2,15,87,0,,120,6,,1019.8,,1
2025-08-04 09:00:00,18.9,15.6,81,0,,120,5.4,,1020,,2
2025-08-04 10:00:00,22.2,16,68,0,,120,9.4,,1020.1,,1
2025-08-04 11:00:00,22.8,14.9,61,0,,0,0,,1020.3,,3
2025-08-04 12:00:00,23.9,15.1,58,0,,140,13,,1020.1,,3
2025-08-04 13:00:00,24.4,14.5,54,0,,120,14.8,,1019.9,,3
2025-08-04 14:00:00,23.9,15.1,58,0,,80,9.4,,1019.8,,3
2025-08-04 15:00:00,24.4,15,56,0,,80,9.4,,1019.6,,3
2025-08-04 16:00:00,25,15,54,0,,100,11.2,,1019.3,,3
2025-08-04 17:00:00,25,15.6,56,0,,90,11.2,,1019.4,,3
2025-08-04 18:00:00,24.4,14.5,54,0,,90,9.4,,1019.1,,2
2025-08-04 19:00:00,23.9,13.4,52,0,,110,11.2,,1019,,2
2025-08-04 20:00:00,21.7,15.5,68,0,,0,0,,1019,,2
2025-08-04 21:00:00,18.9,16.7,87,0,,0,0,,1018.9,,1
2025-08-04 22:00:00,18.9,16.1,84,0,,0,0,,1019.6,,1
2025-08-04 23:00:00,16.1,15.6,97,0,,0,0,,1019.8,,1
2025-08-05 00:00:00,16.1,15,93,0,,0,0,,1020.7,,1
2025-08-05 01:00:00,15.6,15,96,0,,0,0,,1020.9,,1
2025-08-05 02:00:00,15,14.4,96,0,,0,0,,1021,,1
2025-08-05 03:00:00,15.6,15,96,0,,0,0,,1021,,5
2025-08-05 04:00:00,15,15,100,0,,0,0,,1020.9,,2
2025-08-05 05:00:00,15,14.4,96,0,,0,0,,1020.9,,3
2025-08-05 06:00:00,15,14.4,96,0,,0,0,,1020.8,,1
2025-08-05 07:00:00,15,13.9,93,,,0,0,,1021.5,,1
2025-08-05 08:00:00,17.8,15.6,87,0,,0,0,,1021.9,,1
2025-08-05 09:00:00,20,17.2,84,0,,120,11.2,,1022.5,,1
2025-08-05 10:00:00,22.2,18.4,79,0,,130,7.6,,1022.8,,1
2025-08-05 11:00:00,24.4,19.5,74,0,,120,9.4,,1023.1,,1
2025-08-05 12:00:00,25.6,19.5,69,0,,150,13,16,1022.9,,1
2025-08-05 13:00:00,26.7,18.8,62,0,,150,13,,1022.2,,2
2025-08-05 14:00:00,26.7,18.8,62,0,,150,16.6,,1022.1,,2
2025-08-05 15:00:00,27.8,19.3,60,0,,130,14.8,14,1021.4,,2
2025-08-05 16:00:00,28.3,19,57,0,,110,20.5,,1021.1,,1
2025-08-05 17:00:00,27.8,18.2,56,0,,130,16.6,,1020.6,,2
2025-08-05 18:00:00,26.7,18.8,62,0,,110,16.6,,1020.4,,1
2025-08-05 19:00:00,25.6,18.8,66,0,,140,13,,1020.6,,1
2025-08-05 20:00:00,23.9,20,79,0,,130,11,,1021.3,,1
2025-08-05 21:00:00,22.2,19.4,84,0,,130,11.2,,1020.9,,2
2025-08-05 22:00:00,21.7,18.9,84,0,,130,13,,1020.4,,1
2025-08-05 23:00:00,21.1,18.8,87,0,,120,11.2,,1021,,1
2025-08-06 00:00:00,20,18.3,90,0,,120,9.4,,1021.3,,1
2025-08-06 01:00:00,20,17.8,87,0,,130,13,,1021.3,,2
2025-08-06 02:00:00,18.3,17.1,93,0,,150,9.4,,1021.4,,3
2025-08-06 03:00:00,18.3,17.1,93,0,,140,11.2,,1020.8,,3
2025-08-06 04:00:00,17.8,17.2,96,0,,130,11.2,,1020.1,,3
2025-08-06 05:00:00,18.3,17.1,93,0,,120,11.2,,1020,,3
2025-08-06 06:00:00,18.3,17.1,93,0,,130,9.4,,1020.3,,3
2025-08-06 07:00:00,18.9,17.7,93,0,,70,9.4,,1021.7,,3
2025-08-06 08:00:00,19.4,18.2,93,0.3,,350,13,,1022.8,,8
2025-08-06 09:00:00,18.9,18.2,96,2.8,,350,13,,1023.4,,8
2025-08-06 10:00:00,18.9,18.2,96,5.8,,0,0,,1023.1,,8
2025-08-06 11:00:00,18.9,18.9,100,7.1,,130,13,26,1020.4,,3
2025-08-06 12:00:00,21.1,19.9,93,1,,170,13,,1018.8,,7
2025-08-06 13:00:00,22.8,20.5,87,0,,140,18.4,,1018.9,,3
2025-08-06 14:00:00,24.4,20.5,79,0,,140,9.4,,1018.9,,3
2025-08-06 15:00:00,26.1,21.1,74,0,,120,13,,1019,,3
2025-08-06 16:00:00,26.1,21.1,74,0,,130,13,,1019.2,,3
2025-08-06 17:00:00,27.2,21,69,0,,100,9.4,,1019,,3
2025-08-06 18:00:00,26.7,20.5,69,0,,130,13,,1018.6,,3
2025-08-06 19:00:00,26.1,21.1,74,0,,130,11.2,,1018.8,,1
2025-08-06 20:00:00,25,21.1,79,0,,130,7.6,,1018.9,,1
2025-08-06 21:00:00,22.2,21.2,94,0,,0,0,,1019.5,,1
2025-08-06 22:00:00,21.1,21.1,100,0,,0,0,,1019.9,,3
2025-08-06 23:00:00,21.7,20.7,94,0,,140,7.6,,1019.8,,1
2025-08-07 00:00:00,20.6,20.6,100,0,,150,7.6,,1019.5,,1
2025-08-07 01:00:00,21.1,20.6,97,0,,130,9.4,,1019.1,,1
2025-08-07 02:00:00,20.6,19.9,96,0,,0,0,,1018.8,,3
2025-08-07 03:00:00,20.6,19.9,96,0,,110,5.4,,1018.4,,3
2025-08-07 04:00:00,20.6,19.9,96,0.5,,0,0,,1018.2,,18
2025-08-07 05:00:00,20.6,19.9,96,0,,0,0,,1017.4,,9
2025-08-07 06:00:00,20.6,20.6,100,0,,0,0,,1017.4,,9
2025-08-07 07:00:00,21.1,20.6,97,0,,140,13,20,1017.4,,8
2025-08-07 08:00:00,22.2,21.7,97,0.3,,160,24.1,22,1017.7,,3
2025-08-07 09:00:00,22.2,21.2,94,,,170,18.4,19,1018.3,,3
2025-08-07 10:00:00,21.1,19.4,90,0,,190,22.3,,1017.9,,3
2025-08-07 11:00:00,22.8,19,79,0,,210,22.3,23,1016.7,,3
2025-08-07 12:00:00,25,20.7,77,0,,190,27.7,23,1016.4,,3
2025-08-07 13:00:00,27.2,20.5,67,0,,190,24.1,,1016.2,,3
