time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-12-01 00:00:00,-9.4,-14.9,64,0,,290,11.2,,1026.5,,1
2024-12-01 01:00:00,-8.9,-15,61,0,,290,9.4,,1026.3,,2
2024-12-01 02:00:00,-8.3,-15.1,58,0,,290,11.2,,1026.3,,3
2024-12-01 03:00:00,-7.8,-14.4,59,0,,310,13,,1026.6,,3
2024-12-01 04:00:00,-7.2,-13.8,59,0,,320,11.2,,1026.7,,3
2024-12-01 05:00:00,-7.8,-13.8,62,0,,340,16.6,,1027.1,,3
2024-12-01 06:00:00,-7.8,-13.8,62,0,,340,14.8,,1027.3,,3
2024-12-01 07:00:00,-7.8,-15,56,0,,350,18.4,,1027.6,,3
2024-12-01 08:00:00,-7.8,-14.4,59,0,,320,16.6,,1028.2,,3
2024-12-01 09:00:00,-7.2,-13.8,59,0,,340,18.4,,1029,,1
2024-12-01 10:00:00,-6.7,-13.8,57,0,,330,16.6,,1029.6,,1
2024-12-01 11:00:00,-5.6,-13.9,52,0,,320,22.3,,1029.8,,1
2024-12-01 12:00:00,-4.4,-14.3,46,0,,320,18.4,,1029.4,,1
2024-12-01 13:00:00,-3.9,-14.3,44,0,,340,16.6,,1029,,1
2024-12-01 14:00:00,-2.8,-14.5,40,0,,330,20.5,,1028.5,,2
2024-12-01 15:00:00,-2.2,-14,40,0,,330,18.4,,1028.3,,1
2024-12-01 16:00:00,-2.8,-13.9,42,0,,320,9.4,,1028.4,,1
2024-12-01 17:00:00,-5,-13.8,50,0,,310,9.4,,1028.7,,1
2024-12-01 18:00:00,-6.1,-13.2,57,0,,280,9.4,,1028.8,,1
2024-12-01 19:00:00,-9.4,-13.8,70,0,,270,9.4,,1029.3,,3
2024-12-01 20:00:00,-7.2,-12.1,68,0,,330,5.4,,1029.4,,3
2024-12-01 21:00:00,-6.7,-11.1,71,0,,270,5.4,,1029.3,,3
2024-12-01 22:00:00,-6.1,-10.7,70,0,,0,0,,1029,,3
2024-12-01 23:00:00,-6.1,-10.7,70,0,,290,9.4,,1029.5,,3
2024-12-02 00:00:00,-5,-9.4,71,0,,280,5.4,,1029.4,,3
2024-12-02 01:00:00,-5,-10,68,0,,250,5.4,,1028.6,,3
2024-12-02 02:00:00,-4.4,-10,65,0,,270,5.4,,1028.4,,14
2024-12-02 03:00:00,-5.6,-8.8,78,,,300,9.4,,1028.9,,14
2024-12-02 04:00:00,-5.6,-7.9,84,,,320,11.2,,1029.3,,14
2024-12-02 05:00:00,-5.6,-8.3,81,,,340,9.4,,1029.9,,14
2024-12-02 06:00:00,-6.1,-8.4,84,,,330,13,,1030.3,,14
2024-12-02 07:00:00,-6.1,-8.8,81,,,340,16.6,,1031.1,,3
2024-12-02 08:00:00,-6.1,-8.8,81,,,320,18.4,,1031.5,,3
2024-12-02 09:00:00,-6.1,-9.3,78,0.3,,330,18.4,,1032.4,,3
2024-12-02 10:00:00,-6.1,-9.3,78,0,,340,24.1,,1033.6,,3
2024-12-02 11:00:00,-6.1,-10,74,,,340,25.9,,1034.4,,3
2024-12-02 12:00:00,-6.7,-10,77,,,350,20.5,,1034.5,,3
2024-12-02 13:00:00,-6.7,-11.1,71,,,340,22.3,,1034.7,,3
2024-12-02 14:00:00,-6.7,-11.1,71,,,350,25.9,,1034.6,,3
2024-12-02 15:00:00,-6.1,-10.7,70,0,,330,24.1,,1034.7,,3
2024-12-02 16:00:00,-6.1,-11,68,0,,320,18.4,,1035.6,,3
2024-12-02 17:00:00,-7.2,-11,74,0,,310,14.8,,1036,,3
2024-12-02 18:00:00,-8.9,-12.2,77,0,,290,11.2,,1036.4,,2
2024-12-02 19:00:00,-9.4,-12.2,80,0,,310,14.8,,1036.7,,1
2024-12-02 20:00:00,-10.6,-12.8,84,0,,300,11.2,,1036.6,,1
2024-12-02 21:00:00,-11.1,-13.9,80,0,,310,9.4,,1036.4,,2
2024-12-02 22:00:00,-11.7,-13.3,88,0,,320,9.4,,1037,,2
2024-12-02 23:00:00,-10.6,-12.8,84,0,,310,7.6,,1037,,3
2024-12-03 00:00:00,-10.6,-13.4,80,0,,310,9.4,,1036.9,,3
2024-12-03 01:00:00,-11.7,-13.8,84,0,,0,0,,1036.5,,2
2024-12-03 02:00:00,-13.3,-15.6,83,0,,0,0,,1036.5,,3
2024-12-03 03:00:00,-12.2,-14.3,84,0,,250,9.4,,1036.3,,3
2024-12-03 04:00:00,-11.7,-13.8,84,0,,260,5.4,,1035.8,,3
2024-12-03 05:00:00,-11.1,-12.8,87,0,,0,0,,1035.2,,3
2024-12-03 06:00:00,-10.6,-13.4,80,0,,0,0,,1034.6,,3
2024-12-03 07:00:00,-9.4,-11.7,83,0,,130,7.6,,1034,,3
2024-12-03 08:00:00,-10,-12.2,84,0,,190,9.4,,1033.7,,3
2024-12-03 09:00:00,-8.3,-10.5,84,0,,180,13,,1033.3,,3
2024-12-03 10:00:00,-6.1,-9.3,78,0,,190,18.4,,1032.5,,3
2024-12-03 11:00:00,-4.4,-8.3,74,0,,200,18.4,,1031.1,,3
2024-12-03 12:00:00,-2.8,-7.9,68,0,,200,20.5,,1029.4,,3
2024-12-03 13:00:00,-1.7,-7.8,63,0,,190,22.3,,1027.2,,3
2024-12-03 14:00:00,0,-7.7,56,0,,190,25.9,,1024.9,,3
2024-12-03 15:00:00,0.6,-7.9,53,0,,170,25.9,,1023.4,,3
2024-12-03 16:00:00,0,-7.7,56,0,,180,22.3,,1022.4,,1
2024-12-03 17:00:00,-1.1,-8.3,58,0,,180,16.6,,1022.1,,2
2024-12-03 18:00:00,-2.2,-8.3,63,0,,170,16.6,,1020.8,,2
2024-12-03 19:00:00,-2.2,-8.3,63,0,,180,14.8,,1019.9,,1
2024-12-03 20:00:00,-2.8,-8.3,66,0,,170,16.6,,1019,,1
2024-12-03 21:00:00,-2.8,-7.9,68,0,,180,16.6,,1017.7,,1
2024-12-03 22:00:00,-3.3,-7.8,71,0,,170,14.8,,1016.5,,1
2024-12-03 23:00:00,-3.9,-7.8,74,0,,170,11.2,,1015,,1
2024-12-04 00:00:00,-5,-7.7,81,0,,180,9.4,,1013.7,,1
2024-12-04 01:00:00,-3.3,-6.7,77,0,,200,5.4,,1012.7,,1
2024-12-04 02:00:00,-3.3,-6.1,81,0,,250,7.6,,1012.1,,1
2024-12-04 03:00:00,-1.7,-4.4,82,0,,260,14.8,,1011.7,,3
2024-12-04 04:00:00,-0.6,-4,78,0,,270,18.4,,1011.7,,3
2024-12-04 05:00:00,0.6,-3.9,72,0,,280,14.8,,1011.8,,3
2024-12-04 06:00:00,0.6,-3.9,72,0,,290,24.1,,1012.2,,1
2024-12-04 07:00:00,-0.6,-4.3,76,0,,300,18.4,,1012.9,,1
2024-12-04 08:00:00,-1.1,-4.4,78,0,,300,18.4,,1013.3,,1
2024-12-04 09:00:00,1.1,-2.8,75,0,,300,24.1,,1013.1,,2
2024-12-04 10:00:00,3.9,-1.7,67,0,,290,42.5,,1012.6,,3
2024-12-04 11:00:00,4.4,-1,68,0,,290,33.5,,1012.7,,3
2024-12-04 12:00:00,6.7,-0.5,60,0,,290,40.7,,1011.7,,3
2024-12-04 13:00:00,6.7,-0.5,60,0,,280,35.3,,1011.5,,3
2024-12-04 14:00:00,7.8,-1.2,53,0,,300,31.7,,1011.1,,2
2024-12-04 15:00:00,6.1,-8.2,35,0,,310,51.8,,1012,,2
2024-12-04 16:00:00,2.8,-10.4,37,0,,320,50,,1014.1,,1
2024-12-04 17:00:00,-1.1,-13.9,37,0,,320,48.2,,1016.1,,1
2024-12-04 18:00:00,-3.3,-13.3,46,0,,310,48.2,,1018.3,,2
2024-12-04 19:00:00,-6.1,-15.1,49,0,,340,40.7,,1020.6,,1
2024-12-04 20:00:00,-8.3,-16.6,51,0,,330,38.9,,1022.5,,1
2024-12-04 21:00:00,-10,-17.1,56,0,,330,48.2,,1023.7,,2
2024-12-04 22:00:00,-10.6,-19,50,0,,330,37.1,,1024.7,,3
2024-12-04 23:00:00,-11.1,-18.3,55,0,,320,31.7,,1025.6,,3
2024-12-05 00:00:00,-11.1,-18.3,55,0,,330,31.7,,1026.6,,3
2024-12-05 01:00:00,-11.7,-18.3,58,0,,310,27.7,,1027.3,,3
2024-12-05 02:00:00,-11.7,-17.7,61,0,,320,27.7,,1027.9,,3
2024-12-05 03:00:00,-11.7,-17.7,61,0,,340,29.5,,1029.8,,3
2024-12-05 04:00:00,-12.2,-17.8,63,0,,340,29.5,,1031.1,,3
2024-12-05 05:00:00,-12.8,-18.4,63,0,,340,29.5,,1032.1,,3
2024-12-05 06:00:00,-13.3,-18.8,63,0,,340,22.3,,1033.4,,3
2024-12-05 07:00:00,-13.9,-18.9,66,0,,340,27.7,,1034.3,,1
2024-12-05 08:00:00,-13.9,-18.9,66,0,,330,25.9,,1034.9,,1
2024-12-05 09:00:00,-13.3,-18.8,63,0,,320,25.9,,1036.2,,1
2024-12-05 10:00:00,-11.7,-17.7,61,0,,340,27.7,,1036.7,,1
2024-12-05 11:00:00,-10,-17.1,56,0,,330,18.4,,1036.7,,1
2024-12-05 12:00:00,-8.9,-17.2,51,0,,340,20.5,,1036,,1
2024-12-05 13:00:00,-7.8,-16.6,49,0,,350,14.8,,1035.1,,1
2024-12-05 14:00:00,-7.2,-16.1,49,0,,330,9.4,,1034.5,,1
2024-12-05 15:00:00,-6.7,-16.1,47,0,,290,11.2,,1033.8,,1
2024-12-05 16:00:00,-6.7,-16.1,47,0,,310,9.4,,1034,,1
2024-12-05 17:00:00,-8.9,-16.1,56,0,,360,7.6,,1033.7,,1
2024-12-05 18:00:00,-10,-15.5,64,0,,270,5.4,,1033.6,,1
