time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-02-01 00:00:00,0,-5.6,66,0,,60,7.6,,1022.3,,3
2025-02-01 01:00:00,-0.6,-5,72,0,,0,0,,1022.1,,2
2025-02-01 02:00:00,-1.7,-5.5,75,0,,90,7.6,,1022.1,,3
2025-02-01 03:00:00,-1.7,-5.5,75,0,,120,5.4,,1022.3,,3
2025-02-01 04:00:00,-1.7,-5.5,75,0,,100,11.2,,1021.8,,1
2025-02-01 05:00:00,-2.2,-5.5,78,0,,110,13,,1022.1,,1
2025-02-01 06:00:00,-1.1,-5,75,0,,120,16.6,,1022.2,,3
2025-02-01 07:00:00,-1.7,-4.4,82,0,,140,13,,1022.3,,3
2025-02-01 08:00:00,-0.6,-4,78,0,,140,25.9,,1022.8,,3
2025-02-01 09:00:00,0.6,-3.3,75,0,,140,33.5,,1021.8,,3
2025-02-01 10:00:00,1.7,-3.4,69,0,,140,38.9,,1021.6,,3
2025-02-01 11:00:00,1.7,-3.4,69,0,,140,35.3,,1020.5,,3
2025-02-01 12:00:00,2.2,-2.7,70,0,,140,37.1,,1019.3,,3
2025-02-01 13:00:00,3.3,-2.9,64,0,,140,24.1,,1017.7,,3
2025-02-01 14:00:00,3.9,-2.7,62,0,,140,38.9,,1016,,3
2025-02-01 15:00:00,3.9,-2.3,64,0,,140,38.9,,1013.9,,3
2025-02-01 16:00:00,3.9,-2.3,64,0,,140,22.3,,1014.2,,3
2025-02-01 17:00:00,3.3,-1.6,70,0,,150,31.7,,1013.1,,3
2025-02-01 18:00:00,3.3,-1.1,73,0,,140,18.4,,1013.6,,3
2025-02-01 19:00:00,3.3,-1.1,73,0,,130,14.8,,1013.7,,3
2025-02-01 20:00:00,3.3,-1.1,73,0,,120,9.4,,1013.6,,3
2025-02-01 21:00:00,3.3,-1.1,73,0,,150,13,,1013.3,,3
2025-02-01 22:00:00,3.3,-1.1,73,0,,140,9.4,,1012.9,,3
2025-02-01 23:00:00,3.3,-1.1,73,0,,140,11.2,,1012.4,,3
2025-02-02 00:00:00,2.8,-0.7,78,0,,150,11.2,,1011.7,,2
2025-02-02 01:00:00,2.8,-0.7,78,0,,130,9.4,,1011.6,,1
2025-02-02 02:00:00,2.8,-0.7,78,0,,130,5.4,,1011.4,,1
2025-02-02 03:00:00,1.1,-1.6,82,0,,130,5.4,,1011.2,,1
2025-02-02 04:00:00,-1.1,-2.2,92,0,,0,0,,1011.1,,1
2025-02-02 05:00:00,-2.2,-3.3,92,0,,0,0,,1011.4,,5
2025-02-02 06:00:00,-1.1,-2.8,88,0,,0,0,,1011.6,,5
2025-02-02 07:00:00,-2.8,-4.4,89,0,,0,0,,1012.2,,5
2025-02-02 08:00:00,0,-1.1,92,0,,160,5.4,,1012.5,,5
2025-02-02 09:00:00,0.6,0.6,100,0,,180,9.4,,1012.5,,5
2025-02-02 10:00:00,1.7,1.1,96,0,,0,0,,1013.2,,5
2025-02-02 11:00:00,3.3,1.7,89,0,,0,0,,1012.9,,5
2025-02-02 12:00:00,7.8,2.9,71,0,,350,5.4,,1012.6,,3
2025-02-02 13:00:00,10,3.3,63,0,,0,0,,1012.3,,3
2025-02-02 14:00:00,10,2.8,61,0,,0,0,,1011.7,,3
2025-02-02 15:00:00,11.1,3.4,59,0,,160,9.4,,1011.4,,3
2025-02-02 16:00:00,11.1,2.9,57,0,,110,9.4,,1011.6,,3
2025-02-02 17:00:00,10,2.8,61,0,,100,5.4,,1011.5,,3
2025-02-02 18:00:00,8.9,2.9,66,0,,110,5.4,,1011.6,,3
2025-02-02 19:00:00,7.8,2.9,71,0,,100,7.6,,1011.8,,3
2025-02-02 20:00:00,6.1,2.2,76,0,,130,5.4,,1011.5,,3
