time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-07-01 00:00:00,18.3,16.1,87,0,,260,5.4,,1015.6,,1
2025-07-01 01:00:00,17.8,15.6,87,0,,260,5.4,,1015.5,,1
2025-07-01 02:00:00,20,16,78,0,,300,14.8,,1015.6,,1
2025-07-01 03:00:00,19.4,16.1,81,0,,310,13,,1015.5,,1
2025-07-01 04:00:00,18.9,16.1,84,0,,300,11.2,,1015.7,,1
2025-07-01 05:00:00,18.3,15.5,84,0,,310,9.4,,1015.9,,1
2025-07-01 06:00:00,17.8,15.6,87,0,,300,5.4,,1016.5,,1
2025-07-01 07:00:00,19.4,16.1,81,0,,300,7,,1016.8,,1
2025-07-01 08:00:00,21.1,16.7,76,0,,300,7.6,,1017.4,,1
2025-07-01 09:00:00,23.9,16.7,64,0,,340,9.4,,1017.7,,1
2025-07-01 10:00:00,25.6,16.7,58,0,,320,14.8,,1017.7,,1
2025-07-01 11:00:00,26.7,17.2,56,0,,320,13,,1017.7,,1
2025-07-01 12:00:00,27.8,17,52,0,,320,13,18,1017.5,,1
2025-07-01 13:00:00,28.9,15.4,44,0,,320,13,17,1017.1,,1
2025-07-01 14:00:00,28.9,14.3,41,0,,340,22.3,,1016.6,,1
2025-07-01 15:00:00,29.4,14.4,40,0,,290,13,,1016.3,,1
2025-07-01 16:00:00,29.4,15.1,42,0,,309,7.6,,1016.1,,1
2025-07-01 17:00:00,29.4,15.5,43,0,,320,8.3,,1015.9,,1
2025-07-01 18:00:00,28.9,15.4,44,0,,300,13,,1015.4,,1
2025-07-01 19:00:00,28.3,14.5,43,0,,300,13,,1015.1,,2
2025-07-01 20:00:00,26.7,18.3,60,0,,240,7.6,,1014.8,,2
2025-07-01 21:00:00,23.3,19.4,79,0,,240,9.4,,1014.7,,2
2025-07-01 22:00:00,21.1,18.8,87,0,,250,11.2,,1015.1,,1
2025-07-01 23:00:00,20,18.3,90,0,,250,13,,1015.3,,1
2025-07-02 00:00:00,19.4,17.2,87,0,,250,11.2,,1015.6,,1
2025-07-02 01:00:00,18.3,16.6,90,0,,250,7.6,,1015.7,,3
2025-07-02 02:00:00,18.3,16.6,90,0,,0,0,,1015.3,,3
2025-07-02 03:00:00,17.2,16.7,97,0,,0,0,,1015.3,,2
2025-07-02 04:00:00,17.2,16.1,93,0,,230,5.4,,1015,,2
2025-07-02 05:00:00,16.7,15.6,93,0,,240,7.6,,1015.5,,1
2025-07-02 06:00:00,16.7,16.1,96,0,,239,9,,1016.2,,1
2025-07-02 07:00:00,18.3,17.1,93,0,,0,0,,1016.3,,1
2025-07-02 08:00:00,21.1,18.3,84,0,,0,0,,1015.4,,1
2025-07-02 09:00:00,22.8,18.3,76,0,,150,5.4,,1015.3,,3
2025-07-02 10:00:00,25.6,17.8,62,0,,229,7.9,,1015.5,,3
2025-07-02 11:00:00,26.1,17.7,60,0,,210,17,,1015.7,,2
2025-07-02 12:00:00,28.3,18.4,55,0,,210,16.6,,1015.8,,1
2025-07-02 13:00:00,28.9,17.7,51,0,,200,16.6,19,1014.9,,1
2025-07-02 14:00:00,29.4,16.6,46,0,,210,25.9,,1014.5,,1
2025-07-02 15:00:00,29.4,18.2,51,0,,210,14.8,,1014.2,,1
2025-07-02 16:00:00,29.4,18.2,51,0,,230,18.4,,1014,,1
2025-07-02 17:00:00,28.9,18.3,53,0,,210,18.4,,1013.8,,1
2025-07-02 18:00:00,28.3,18.4,55,0,,190,13,,1013.6,,1
2025-07-02 19:00:00,27.8,17.6,54,0,,190,13,,1013.2,,2
2025-07-02 20:00:00,26.1,19,65,0,,180,9.4,,1013.2,,2
2025-07-02 21:00:00,23.9,19,74,0,,160,11.2,,1013.5,,2
2025-07-02 22:00:00,22.8,18.3,76,0,,170,9.4,,1013.8,,2
2025-07-02 23:00:00,22.2,19,82,0,,120,5.4,,1014.1,,2
2025-07-03 00:00:00,21.7,19.4,87,0,,110,5.4,,1013.8,,1
2025-07-03 01:00:00,21.1,19.4,90,0,,120,5.4,,1013.5,,1
2025-07-03 02:00:00,20.6,19.4,93,0,,130,7.6,,1013.3,,1
2025-07-03 03:00:00,20,18.8,93,0,,150,5.4,,1013.1,,1
2025-07-03 04:00:00,20,18.8,93,0,,150,9.4,,1013,,1
2025-07-03 05:00:00,19.4,18.9,97,0,,140,5.4,,1013.1,,1
2025-07-03 06:00:00,19.4,18.9,97,0,,150,5.4,,1013.7,,1
2025-07-03 07:00:00,20.6,19.4,93,0,,140,7.6,,1014,,1
2025-07-03 08:00:00,22.2,19.9,87,0,,160,9.4,,1014.2,,1
2025-07-03 09:00:00,25,20.7,77,0,,180,9.4,,1014.1,,1
2025-07-03 10:00:00,27.2,21.7,72,0,,210,11,,1013.8,,1
2025-07-03 11:00:00,28.9,22.1,67,0,,210,11.2,,1013.7,,1
2025-07-03 12:00:00,30.6,22.7,63,0,,190,7.6,,1013.7,,1
2025-07-03 13:00:00,32.2,22.9,58,0,,220,11.2,,1013.3,,1
2025-07-03 14:00:00,32.8,22.2,54,0,,230,11.2,,1013.1,,18
2025-07-03 15:00:00,33.3,22.1,52,0,,200,15.1,,1012.8,,17
2025-07-03 16:00:00,33.3,21.8,51,0,,198,15.5,,1012.7,,3
2025-07-03 17:00:00,32.8,21,50,0,,210,17,,1012.6,,2
2025-07-03 18:00:00,32.8,22.8,56,0,,210,16.6,,1012.6,,3
2025-07-03 19:00:00,31.7,22.7,59,0,,210,14.8,,1012.5,,2
2025-07-03 20:00:00,30,22.7,65,0,,200,9,,1013,,2
2025-07-03 21:00:00,27.2,22.8,77,0,,200,9.4,,1012.9,,1
2025-07-03 22:00:00,26.1,21.7,77,0,,170,9.4,,1013.6,,1
2025-07-03 23:00:00,23.9,21.8,88,0,,170,7.6,,1014.2,,1
2025-07-04 00:00:00,24.4,21.7,85,0,,180,11.2,,1014.1,,1
2025-07-04 01:00:00,25.6,22.3,82,0,,190,14.8,,1013.5,,1
2025-07-04 02:00:00,24.4,21.7,85,0,,170,9.4,,1013.9,,1
2025-07-04 03:00:00,23.3,21.7,91,0,,120,7.6,,1014.4,,1
2025-07-04 04:00:00,22.2,21.2,94,0,,170,7.6,,1014.4,,1
2025-07-04 05:00:00,23.3,21.2,88,0,,160,11.2,,1014.1,,1
2025-07-04 06:00:00,22.8,21.1,90,0,,186,12.6,,1014.5,,1
2025-07-04 07:00:00,23.3,21.7,91,0,,180,9,,1014.9,,1
2025-07-04 08:00:00,25,22.1,84,0,,180,9.4,,1015.3,,1
2025-07-04 09:00:00,27.2,22.2,74,0,,210,14.8,,1015.6,,1
2025-07-04 10:00:00,28.3,21.8,68,0,,210,18.4,,1015.5,,1
2025-07-04 11:00:00,29.4,21.6,63,0,,200,19,,1015.4,,1
2025-07-04 12:00:00,30,21.6,61,0,,200,18.4,,1015.1,,2
2025-07-04 13:00:00,30.6,21.1,57,0,,190,22.3,,1014.6,,2
2025-07-04 14:00:00,31.1,21,55,0,,190,22.3,20,1014.5,,2
2025-07-04 15:00:00,31.1,20.7,54,0,,190,22.3,17,1014.1,,2
2025-07-04 16:00:00,31.7,21.8,56,0,,200,18.4,20,1013.7,,1
2025-07-04 17:00:00,31.1,20.1,52,0,,190,18.4,,1013.3,,1
2025-07-04 18:00:00,30,21.1,59,0,,190,14.8,,1012.8,,2
2025-07-04 19:00:00,30.6,22.2,61,0,,170,16.6,,1012.4,,3
2025-07-04 20:00:00,28.3,21.8,68,0,,180,15,,1012.2,,3
2025-07-04 21:00:00,27.2,21,69,0,,180,14.8,,1012.3,,3
2025-07-04 22:00:00,25.6,21,76,0,,150,9.4,,1013.1,,2
2025-07-04 23:00:00,24.4,21.1,82,0,,140,11.2,,1013.5,,3
2025-07-05 00:00:00,23.9,21,84,0,,150,11.2,,1013.3,,3
2025-07-05 01:00:00,23.9,21,84,0,,150,13,,1013.1,,3
2025-07-05 02:00:00,22.8,21.1,90,0,,140,11.2,,1012.9,,2
2025-07-05 03:00:00,22.8,20.5,87,0,,150,13,,1012.4,,3
2025-07-05 04:00:00,22.2,20.7,91,0,,150,9.4,,1011.9,,3
2025-07-05 05:00:00,21.7,20.7,94,0,,130,9.4,,1011.7,,3
2025-07-05 06:00:00,22.8,20.5,87,0,,160,13,,1011.6,,3
2025-07-05 07:00:00,24.4,21.1,82,,,190,14.8,,1011.6,,7
2025-07-05 08:00:00,24.4,21.7,85,,,190,13,,1011.5,,8
2025-07-05 09:00:00,25,21.7,82,,,180,14.8,21,1011.6,,8
2025-07-05 10:00:00,25.6,22.3,82,0,,210,20.5,24,1011.8,,8
2025-07-05 11:00:00,22.8,21.8,94,15.5,,210,7.6,,1011.8,,8
2025-07-05 12:00:00,24.4,22.8,91,,,210,16.6,17,1013,,9
