time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-05-01 00:00:00,12.8,11.7,93,0.2,,110,11.2,,1008.7,,7
2025-05-01 01:00:00,12.8,11.7,93,0.2,,80,11.2,,1008.3,,5
2025-05-01 02:00:00,12.2,11.7,97,0,,90,11.2,,1008,,5
2025-05-01 03:00:00,12.2,11.7,97,0,,100,5.4,,1007.1,,5
2025-05-01 04:00:00,12.2,11.7,97,0,,60,5.4,,1006.5,,5
2025-05-01 05:00:00,12.2,11.7,97,0,,10,5.4,,1005.9,,3
2025-05-01 06:00:00,12.2,11.7,97,0.3,,350,9.4,,1005.6,,8
2025-05-01 07:00:00,12.2,11.7,97,0.3,,20,7.6,,1006.1,,5
2025-05-01 08:00:00,12.2,11.7,97,,,360,7.6,,1006.3,,5
2025-05-01 09:00:00,12.8,11.7,93,,,260,5.4,,1006.6,,5
2025-05-01 10:00:00,12.8,11.7,93,0,,330,13,,1006.6,,8
2025-05-01 11:00:00,13.9,12.3,90,0,,310,14.8,,1006.8,,8
2025-05-01 12:00:00,14.4,12.3,87,0,,300,11.2,,1006.9,,7
2025-05-01 13:00:00,15.6,12.7,83,0.3,,310,5.4,,1006.7,,17
2025-05-01 14:00:00,16.1,13.4,84,0.5,,240,9.4,,1006.3,,2
2025-05-01 15:00:00,18.3,13.4,73,0,,240,9.4,,1005.7,,9
2025-05-01 16:00:00,17.2,13.3,78,,,290,20.5,20,1005.8,,8
2025-05-01 17:00:00,17.2,13.9,81,0.3,,300,25.9,27,1006,,18
2025-05-01 18:00:00,14.4,11.7,84,,,330,31.7,20,1007.2,,17
2025-05-01 19:00:00,13.9,10.5,80,0,,310,25.9,,1007.9,,2
2025-05-01 20:00:00,13.3,9.9,80,0,,310,13,,1008.4,,2
2025-05-01 21:00:00,11.7,9.9,89,0,,270,11.2,,1008.9,,3
2025-05-01 22:00:00,11.1,9.4,89,0,,250,13,,1009.5,,1
2025-05-01 23:00:00,10.6,8.9,89,0,,270,18.4,,1010,,1
2025-05-02 00:00:00,11.1,7.8,80,0,,280,18.4,,1010.3,,1
2025-05-02 01:00:00,10,7.2,83,0,,290,11.2,,1010.4,,1
2025-05-02 02:00:00,7.8,6.7,93,0,,300,9.4,,1010.6,,1
2025-05-02 03:00:00,7.2,6.1,93,0,,280,9.4,,1010.7,,1
2025-05-02 04:00:00,7.2,6.1,93,0,,280,11.2,,1010.7,,1
2025-05-02 05:00:00,6.7,5.6,93,0,,320,7.6,,1010.9,,1
2025-05-02 06:00:00,7.8,6.1,89,0,,310,9.4,,1011.5,,3
2025-05-02 07:00:00,7.8,6.7,93,0,,260,9.4,,1012.5,,3
2025-05-02 08:00:00,9.4,7.2,86,0,,320,14.8,,1012.8,,3
2025-05-02 09:00:00,10,6.7,80,0,,330,14.8,,1013.6,,3
2025-05-02 10:00:00,10,6.7,80,0,,340,13,,1013,,3
2025-05-02 11:00:00,11.1,6.6,74,0,,310,11.2,,1014.2,,8
2025-05-02 12:00:00,11.1,7.8,80,,,280,5.4,,1013.4,,8
2025-05-02 13:00:00,13.3,7.7,69,0,,320,9.4,,1013.4,,8
2025-05-02 14:00:00,13.9,7.2,64,0,,340,16.6,,1013.2,,8
2025-05-02 15:00:00,12.2,7.7,74,0.8,,350,5.4,16,1013.4,,8
2025-05-02 16:00:00,12.2,7.7,74,2.8,,240,5.4,,1013.1,,3
2025-05-02 17:00:00,13.9,7.2,64,0,,360,16.6,,1012.9,,3
2025-05-02 18:00:00,12.8,7.3,69,,,360,13,21,1013.3,,3
2025-05-02 19:00:00,12.8,7.3,69,0,,350,29.5,21,1013.8,,7
2025-05-02 20:00:00,11.7,5.6,66,0,,350,29.5,,1014.3,,3
2025-05-02 21:00:00,8.9,3.9,71,0,,360,18.4,,1014.9,,3
2025-05-02 22:00:00,8.3,3.4,71,0,,350,18.4,19,1015.4,,2
2025-05-02 23:00:00,8.9,3.3,68,0,,10,22.3,,1015.7,,1
2025-05-03 00:00:00,8.3,3.9,74,0,,360,14.8,,1015.8,,3
2025-05-03 01:00:00,8.3,4.3,76,0,,340,16.6,,1015.9,,3
