time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-10-01 00:00:00,18.9,3.5,36,0,,340,29.5,,1018.7,,1
2024-10-01 01:00:00,17.2,2.8,38,0,,340,24.1,,1019.7,,1
2024-10-01 02:00:00,15.6,2.7,42,0,,340,27.7,,1020.8,,1
2024-10-01 03:00:00,14.4,2.3,44,0,,330,14.8,,1021.4,,1
2024-10-01 04:00:00,13.3,1.6,45,0,,350,24.1,,1022.1,,1
2024-10-01 05:00:00,12.2,2.1,50,0,,340,18.4,,1022.7,,1
2024-10-01 06:00:00,11.1,2.1,54,0,,340,14.8,,1023.4,,1
2024-10-01 07:00:00,10.6,2.2,56,0,,340,18.4,,1024.5,,1
2024-10-01 08:00:00,10.6,2.7,58,0,,340,11.2,,1025.2,,1
2024-10-01 09:00:00,12.8,2.9,51,0,,340,16.6,,1025.6,,1
2024-10-01 10:00:00,15,2.2,42,0,,340,22.3,,1026,,1
2024-10-01 11:00:00,17.2,0.8,33,0,,360,27.7,,1026.1,,1
2024-10-01 12:00:00,18.3,-1.5,26,0,,340,24.1,,1025.9,,1
2024-10-01 13:00:00,19.4,-3.5,21,0,,330,27.7,,1025.6,,1
2024-10-01 14:00:00,20,-3.6,20,0,,330,22.3,,1024.6,,2
2024-10-01 15:00:00,20.6,-3.8,19,0,,340,24.1,,1023.7,,2
2024-10-01 16:00:00,20.6,-3.2,20,0,,350,18.4,,1023.2,,3
2024-10-01 17:00:00,20,-3.6,20,0,,330,13,,1022.6,,3
2024-10-01 18:00:00,18.3,-3.2,23,0,,350,11.2,,1022.1,,3
2024-10-01 19:00:00,13.9,-0.6,37,0,,0,0,,1021.9,,5
2024-10-01 20:00:00,10.6,1.2,52,0,,250,7.6,,1021.9,,5
2024-10-01 21:00:00,10,1.6,56,0,,0,0,,1022,,3
2024-10-01 22:00:00,8.3,1.7,63,0,,210,5.4,,1021.7,,3
2024-10-01 23:00:00,8.3,2.1,65,0,,0,0,,1021.5,,3
2024-10-02 00:00:00,6.1,2.2,76,0,,0,0,,1020.9,,3
2024-10-02 01:00:00,6.1,2.2,76,0,,0,0,,1020.3,,3
2024-10-02 02:00:00,5,2.2,82,0,,0,0,,1019.8,,3
2024-10-02 03:00:00,4.4,2.3,86,0,,0,0,,1019.2,,3
2024-10-02 04:00:00,4.4,2.3,86,0,,130,5.4,,1018.7,,3
2024-10-02 05:00:00,3.9,2.7,92,0,,130,7.6,,1018.2,,3
2024-10-02 06:00:00,3.9,2.3,89,0,,130,5.4,,1018,,3
2024-10-02 07:00:00,4.4,2.3,86,0,,150,7.6,,1017.9,,1
2024-10-02 08:00:00,5.6,2.8,82,0,,130,7.6,,1017.6,,2
2024-10-02 09:00:00,12.8,4.5,57,0,,190,14.8,,1016.9,,1
2024-10-02 10:00:00,16.7,2.3,38,0,,200,22.3,,1016.4,,1
2024-10-02 11:00:00,18.3,2.2,34,0,,200,25.9,,1015.9,,1
2024-10-02 12:00:00,20.6,2.9,31,0,,200,29.5,,1015.2,,1
2024-10-02 13:00:00,22.2,2.8,28,0,,200,25.9,,1013.7,,1
2024-10-02 14:00:00,23.3,3.2,27,0,,190,27.7,,1012,,1
2024-10-02 15:00:00,23.9,2.1,24,0,,200,27.7,,1011,,1
2024-10-02 16:00:00,24.4,2.5,24,0,,200,27.7,,1010.2,,1
2024-10-02 17:00:00,23.9,3.2,26,0,,190,27.7,,1009.9,,1
2024-10-02 18:00:00,22.8,3.8,29,0,,190,20.5,,1009.7,,3
2024-10-02 19:00:00,18.9,4.3,38,0,,180,11.2,,1009.9,,1
2024-10-02 20:00:00,16.1,5.1,48,0,,180,9.4,,1010.7,,1
2024-10-02 21:00:00,14.4,4.9,53,0,,170,7.6,,1011.3,,1
2024-10-02 22:00:00,13.3,5,57,0,,140,9.4,,1011.8,,1
2024-10-02 23:00:00,12.2,4.9,61,0,,0,0,,1012,,1
