year,month,day,hour,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025,08,12,00,20,20,100,0,,140,5.4,,1014.2,,5
2025,08,12,01,19.4,19.4,100,0,,0,0,,1013.7,,3
2025,08,12,02,20,20,100,0,,170,5.4,,1013.8,,3
2025,08,12,03,20,20,100,,,0,0,,1013.2,,5
2025,08,12,04,20,20,100,,,190,5.4,,1013.3,,5
2025,08,12,05,20,20,100,0,,0,0,,1013.3,,5
2025,08,12,06,20,20,100,0,,0,0,,1013.5,,5
2025,08,12,07,20,19.3,96,0,,0,0,,1013.5,,3
2025,08,12,08,20.6,19.9,96,0,,190,7.6,,1013.6,,3
2025,08,12,09,22.2,20.7,91,0,,0,0,,1013.8,,3
2025,08,12,10,23.3,20.6,85,0,,280,5.4,,1014.1,,3
2025,08,12,11,24.4,20.5,79,0,,0,0,,1013.9,,3
2025,08,12,12,25.6,20.6,74,0,,220,9.4,,1013.8,,3
2025,08,12,13,25.6,21,76,0,,240,9.4,,1013.9,,3
2025,08,12,14,26.7,20.5,69,0,,250,9.4,,1013.7,,3
2025,08,12,15,27.8,20.1,63,0,,270,14.8,,1013.4,,3
2025,08,12,16,27.8,20.1,63,0,,240,11.2,,1013,,5
2025,08,12,17,27.8,19.3,60,0,,300,14.8,,1012.8,,3
2025,08,12,18,27.8,21.1,67,0,,310,11.2,,1012.7,,3
2025,08,12,19,26.1,19,65,0,,330,11.2,,1012.7,,17
2025,08,12,20,25,19.4,71,0,,320,9.4,,1013.1,,2
2025,08,12,21,23.9,19.4,76,0,,340,13,,1013.8,,2
2025,08,12,22,22.2,19.4,84,0,,10,9.4,,1014.5,,1
2025,08,12,23,21.1,18.8,87,0,,350,11.2,,1014.8,,1
2025,08,13,00,20.6,18.4,87,0,,350,9.4,,1014.7,,1
2025,08,13,01,18.9,17.7,93,0,,0,0,,1015.4,,1
2025,08,13,02,18.3,16.6,90,0,,360,9.4,,1015.5,,1
2025,08,13,03,17.2,16.7,97,0,,340,7.6,,1015.3,,1
2025,08,13,04,16.7,16.1,96,0,,350,5.4,,1015.2,,1
2025,08,13,05,15.6,15,96,0,,0,0,,1015.3,,1
2025,08,13,06,15.6,15.6,100,0,,0,0,,1015.8,,1
2025,08,13,07,16.1,15.6,97,0,,0,0,,1016.6,,1
2025,08,13,08,18.9,17.2,90,0,,340,5.4,,1017,,1
2025,08,13,09,20.6,17.2,81,0,,20,5.4,,1017,,1
2025,08,13,10,22.8,16.1,66,0,,0,0,,1017,,1
2025,08,13,11,24.4,15.6,58,0,,80,5.4,,1017.3,,1
2025,08,13,12,25,15,54,0,,90,5.4,,1016.8,,1
2025,08,13,13,25.6,15.6,54,0,,50,9.4,,1016.4,,1
2025,08,13,14,26.1,15.5,52,0,,60,7.6,,1016.1,,1
2025,08,13,15,26.7,16,52,0,,100,7.6,,1015.5,,1
2025,08,13,16,26.7,16,52,0,,120,7.6,,1015.5,,1
2025,08,13,17,26.7,16,52,0,,100,7.6,,1015.1,,1
2025,08,13,18,26.1,16.1,54,0,,180,11.2,,1015,,1
2025,08,13,19,25.6,16.2,56,0,,130,7.6,,1014.9,,1
2025,08,13,20,23.3,18.4,74,0,,140,7.6,,1014.4,,1
2025,08,13,21,20.6,17.2,81,0,,0,0,,1014.9,,1
2025,08,13,22,19.4,17.7,90,0,,0,0,,1015.2,,1
2025,08,13,23,19.4,17.2,87,0,,140,5.4,,1015,,1
2025,08,14,00,18.3,17.1,93,0,,0,0,,1014.8,,1
2025,08,14,01,16.7,16.1,96,0,,0,0,,1015.3,,1
2025,08,14,02,17.2,16.7,97,0,,0,0,,1015.1,,1
2025,08,14,03,16.7,16.1,96,0,,130,7.6,,1014.5,,1
2025,08,14,04,16.7,16.1,96,0,,170,7.6,,1014.9,,3
2025,08,14,05,17.8,16.7,93,0,,80,5.4,,1015.8,,2
2025,08,14,06,16.1,16.1,100,0,,120,5.4,,1016.2,,2
2025,08,14,07,16.7,16.1,96,0,,140,9.4,,1015.5,,1
2025,08,14,08,19.4,17.2,87,0,,170,7.6,,1015.4,,1
2025,08,14,09,21.1,17.9,82,0,,130,22.3,,1014.3,,2
2025,08,14,10,22.2,18.4,79,0,,150,11.2,,1014.8,,1
2025,08,14,11,23.3,18.4,74,0,,160,16.6,,1015.4,,3
2025,08,14,12,24.4,18.3,69,0,,170,20.5,,1015.8,,2
2025,08,14,13,26.1,18.2,62,0,,170,24.1,,1015.2,,2
2025,08,14,14,27.8,20.1,63,0,,150,24.1,,1015,,2
2025,08,14,15,28.3,20,61,0,,150,18.4,,1014.6,,3
2025,08,14,16,28.3,20.6,63,0,,140,20.5,,1014.2,,1
2025,08,14,17,27.8,21.1,67,0,,130,14.8,,1014.1,,1
2025,08,14,18,26.7,20.5,69,0,,130,20.5,,1013.8,,3
2025,08,14,19,26.1,20.6,72,0,,130,16.6,,1013.8,,2
2025,08,14,20,24.4,19.9,76,0,,130,14.8,,1013.9,,1
2025,08,14,21,22.2,19,82,0,,140,14.8,,1014.1,,2
2025,08,14,22,22.2,19,82,0,,160,14.8,,1014.4,,2
2025,08,14,23,21.1,18.8,87,0,,160,13,,1014.2,,3
2025,08,15,00,21.1,18.8,87,0,,160,13,,1014.8,,3
2025,08,15,01,21.7,18.9,84,0,,160,13,,1014.6,,3
2025,08,15,02,21.7,18.3,81,0,,150,13,,1014.6,,3
2025,08,15,03,21.1,18.3,84,0,,130,5.4,,1014.9,,3
2025,08,15,04,20.6,18.4,87,0,,120,7.6,,1014.9,,3
2025,08,15,05,20,18.3,90,0,,140,7.6,,1015.2,,3
2025,08,15,06,19.4,18.2,93,0,,130,5.4,,1015.2,,1
2025,08,15,07,19.4,18.2,93,0,,140,9.4,,1015.3,,3
2025,08,15,08,21.1,18.8,87,0,,140,11.2,,1015,,3
2025,08,15,09,24.4,19.9,76,0,,140,13,,1014.7,,3
2025,08,15,10,25.6,20.6,74,0,,150,13,,1015,,3
