time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,future_temp
2025-01-01 00:00:00,-0.6,-5.6,69,0,,290,20.5,,1021.2,,3,0
2025-01-01 01:00:00,-1.1,-6.1,69,0,,300,25.9,,1021.3,,3,0
2025-01-01 02:00:00,-1.7,-7.2,66,0,,310,25.9,,1021.7,,3,0
2025-01-01 03:00:00,-1.7,-7.8,63,0,,310,27.7,,1022.5,,3,0
2025-01-01 04:00:00,-2.2,-8.3,63,0,,310,24.1,,1022.7,,3,0
2025-01-01 05:00:00,-2.2,-8.3,63,0,,310,18.4,,1022.5,,3,0
2025-01-01 06:00:00,-2.2,-7.1,69,0,,310,13,,1022.9,,1,0
2025-01-01 07:00:00,-2.2,-7.1,69,0,,290,13,,1023.4,,1,0
2025-01-01 08:00:00,-1.7,-7.2,66,0,,300,18.4,,1023.4,,1,0
2025-01-01 09:00:00,-2.2,-8.3,63,0,,290,25.9,,1024.7,,1,0
2025-01-01 10:00:00,-2.2,-8.9,60,0,,310,35.3,,1025.6,,1,0
2025-01-01 11:00:00,-2.2,-8.9,60,0,,290,25.9,,1025.4,,1,0
2025-01-01 12:00:00,-1.7,-8.2,61,0,,310,27.7,,1025.1,,3,0
2025-01-01 13:00:00,-0.6,-7.2,61,0,,300,24.1,,1024.2,,3,0
2025-01-01 14:00:00,-1.1,-7.2,63,0,,270,20.5,,1023.8,,3,0
2025-01-01 15:00:00,-0.6,-6.8,63,0,,290,18.4,,1023.8,,3,0
2025-01-01 16:00:00,-0.6,-6.8,63,0,,290,16.6,,1023.9,,3,0
2025-01-01 17:00:00,-1.1,-5.5,72,0,,240,9.4,,1023.9,,3,0
2025-01-01 18:00:00,-2.8,-6.1,78,0,,260,9.4,,1023.9,,3,0
2025-01-01 19:00:00,-5.6,-7.3,88,0,,220,7.6,,1024,,1,0
2025-01-01 20:00:00,-5.6,-7.3,88,0,,260,5.4,,1023.9,,1,0
2025-01-01 21:00:00,-6.1,-8.4,84,0,,250,11.2,,1024,,1,0
2025-01-01 22:00:00,-5,-8.2,78,0,,0,0,,1024.5,,2,0
2025-01-01 23:00:00,-6.1,-8.4,84,0,,0,0,,1024.6,,3,0
2025-01-02 00:00:00,-5,-7.3,84,0,,0,0,,1024.3,,3,0
2025-01-02 01:00:00,-4.4,-6.1,88,0,,0,0,,1024.5,,3,0
2025-01-02 02:00:00,-4.4,-6.7,84,0,,0,0,,1024.4,,3,0
2025-01-02 03:00:00,-5.6,-7.3,88,0,,0,0,,1024.7,,3,0
2025-01-02 04:00:00,-5,-6.7,88,0,,0,0,,1024.8,,3,0
2025-01-02 05:00:00,-4.4,-6.7,84,0,,0,0,,1024.7,,3,
2025-01-02 06:00:00,-4.4,-6.7,84,,,80,7.6,,1024.9,,3,0.5
2025-01-02 07:00:00,-4.4,-6.1,88,0.5,,100,9.4,,1024.7,,15,1.5
2025-01-02 08:00:00,-3.9,-5.6,88,1.5,,90,5.4,,1024.7,,15,0.2
2025-01-02 09:00:00,-3.9,-5.6,88,0.2,,40,7.6,,1025,,16,1.5
2025-01-02 10:00:00,-3.9,-5.6,88,1.5,,40,9.4,,1026.3,,16,0.8
2025-01-02 11:00:00,-3.9,-6,85,0.8,,40,13,,1026.3,,15,0.3
2025-01-02 12:00:00,-3.9,-6.7,81,0.3,,20,13,,1026,,15,
2025-01-02 13:00:00,-2.8,-6.8,74,,,30,13,,1025.2,,3,
2025-01-02 14:00:00,-2.8,-6.8,74,,,360,13,,1025.4,,3,0
2025-01-02 15:00:00,-2.8,-7.9,68,0,,340,18.4,,1026.1,,3,0
2025-01-02 16:00:00,-3.9,-8.2,72,0,,270,7,,1026.8,,1,0
2025-01-02 17:00:00,-8.9,-11.1,84,0,,270,7.6,,1027.1,,1,0
2025-01-02 18:00:00,-11.1,-12.8,87,0,,300,11.2,,1027.7,,1,0
2025-01-02 19:00:00,-10.6,-12.2,88,0,,300,13,,1028.4,,1,0
2025-01-02 20:00:00,-12.8,-14.4,88,0,,260,9.4,,1028.8,,1,0
2025-01-02 21:00:00,-7.8,-10.6,80,0,,280,11.2,,1028.8,,1,0
2025-01-02 22:00:00,-6.7,-8.9,84,0,,260,11.2,,1028.7,,1,0
2025-01-02 23:00:00,-8.3,-11.8,76,0,,270,14.8,,1029.6,,3,0
2025-01-03 00:00:00,-6.1,-9.3,78,0,,300,14.8,,1030,,1,0
2025-01-03 01:00:00,-6.7,-10,77,0,,340,22.3,,1030.5,,1,0
2025-01-03 02:00:00,-7.8,-11.6,74,0,,340,24.1,,1030.8,,1,0
2025-01-03 03:00:00,-9.4,-13.3,73,0,,340,14.8,,1031.4,,1,0
2025-01-03 04:00:00,-10.6,-14.3,74,0,,330,16.6,,1031.1,,2,0
2025-01-03 05:00:00,-10.6,-14.3,74,0,,310,13,,1031.5,,2,0
2025-01-03 06:00:00,-17.2,-18.8,87,0,,310,9.4,,1031.6,,3,0
2025-01-03 07:00:00,-15,-17.8,79,0,,300,9.4,,1032.1,,3,0
2025-01-03 08:00:00,-12.2,-14.3,84,0,,270,11.2,,1032.3,,3,0
2025-01-03 09:00:00,-10.6,-13.8,77,0,,310,14.8,,1032.4,,3,0
2025-01-03 10:00:00,-10,-13.9,73,0,,310,16.6,,1033.3,,3,0
2025-01-03 11:00:00,-8.9,-12.8,73,0,,310,16.6,,1034.1,,3,0
2025-01-03 12:00:00,-8.3,-12.8,70,0,,310,22.3,,1033.3,,2,0
2025-01-03 13:00:00,-7.8,-13.2,65,0,,298,13.7,,1032.6,,3,0
2025-01-03 14:00:00,-7.2,-13.2,62,0,,320,11,,1032.3,,1,0
2025-01-03 15:00:00,-6.7,-12.2,65,0,,320,11.2,,1032.1,,1,0
2025-01-03 16:00:00,-6.7,-12.8,62,0,,320,14.8,,1032.3,,1,0
2025-01-03 17:00:00,-11.1,-15.6,69,0,,260,13,,1032.8,,1,0
2025-01-03 18:00:00,-13.9,-17.2,76,0,,260,13,,1033.2,,1,0
2025-01-03 19:00:00,-14.4,-17.2,79,0,,260,14.8,,1033.3,,1,0
